Probeset	Gene	Type	SP4plus 1	SP4plus 2	SP8plus 1	SP8plus 2
32259_at	EZH1	other	425.27	398.79	617.67	296.21
32402_s_at	SYMPK	other	226.9	213.94	301.4	148.61
32502_at	GDPD5	other	343.19	331.54	455.58	223.48
32540_at	PPP3CC	other	198.71	152.99	212.11	112.85
32541_at	PPP3CC	other	169.33	165.13	216.23	120.92
32625_at	NPR1	other	210.38	195.59	252.35	139.91
32699_s_at	PVR	immunity	231.91	207.47	258.62	146.97
32723_at	CSTF1	other	182	174.06	221.18	128.19
32811_at	MYO1C	immunity	411.45	373.39	502.49	240.45
32836_at	AGPAT1	other	585.22	582.3	819.23	371.43
32837_at	AGPAT2	other	451.56	401.55	566.52	282.06
33132_at	CPSF1 /// MIR1234 /// MIR6849 /// MIR939	other	715.07	673.97	1404.7	507.87
33148_at	ZFR	other	145.37	114.43	160.66	87.87
33197_at	MYO7A	other	203.51	189.64	360.24	180.41
33304_at	ISG20	immunity	749.25	915.13	1779.8	924.03
33307_at	RRP7A	other	365.39	316.55	483.48	224.55
33322_i_at	SFN	other	374.1	350.87	517.01	223.46
33323_r_at	SFN	other	249.74	197.65	281.74	134.83
33494_at	ETFDH	other	170.85	159.01	201.39	104.85
33579_i_at	GALR3	other	309.29	273.25	362.72	175.02
33646_g_at	GM2A	other	241.96	171.3	272.22	124.06
336_at	TBXA2R	other	220.02	193.95	309.8	173.22
33736_at	STOML1	other	334.55	345.92	451.45	222.3
33760_at	PEX14	other	264.09	231.59	339.82	157.03
33767_at	NEFH	other	134.19	114.72	154.57	88.974
33768_at	DMWD	other	458.24	394.22	545.15	246.91
33778_at	TBC1D22A	other	347.27	357.27	480	259.45
33814_at	PAK4	other	311.42	253.54	380.47	176.9
33850_at	MAP4	other	215.73	236.13	330.1	168.53
34031_i_at	KRIT1	other	257.17	257.57	387.19	171.02
34063_at	RECQL5	other	218.95	175.31	251.64	124.86
34187_at	RBMS2	other	179	152.39	212.66	115.43
34206_at	ARAP1	other	369.41	388.46	502.63	264.7
34210_at	CD52	other	1075.8	1500.3	1973.8	1065.7
34221_at	HMGXB3	other	358.33	291.73	514.42	202.63
34225_at	MIR943 /// NELFA	other	294.67	297.8	404.54	203.26
34260_at	TELO2	other	307.65	289.09	410.36	195.88
34406_at	PACS2	other	357.29	303.18	481.05	192.37
34408_at	RTN2	other	212.3	160.62	244.59	129.1
34449_at	CASP2	other	185.84	135.32	246.07	97.19
34471_at	MYH8	other	154.48	112.67	162.04	90.521
34478_at	RAB11B	other	182.96	130.77	208.9	97.676
34689_at	ATRIP /// TREX1	immunity	570.32	535.46	669.62	361.32
34697_at	LRP6	other	182.61	157.67	203.83	111.64
34726_at	CACNB3	other	267.82	253.87	257.85	126.67
34764_at	LARS2	other	225.05	234.51	285.08	156.68
34846_at	CAMK2B	other	376.73	325.46	437.51	226.7
34858_at	KCTD2	other	412.86	356.84	583.86	237.6
34868_at	SMG5	other	310.01	294.59	437.45	201.05
